Wall time,Step,Value
1773822577.7898984,8192,0.10169240832328796
1773822697.678172,16384,0.15822666883468628
1773822845.2841504,24576,0.1366943120956421
1773822962.0618613,32768,0.20166422426700592
1773823077.382082,40960,0.16600777208805084
1773823189.9762797,49152,0.22488641738891602
1773823314.6467152,57344,0.1353483647108078
1773823455.674748,65536,0.15509642660617828
1773823598.4159303,73728,0.19187785685062408
1773823743.7653162,81920,0.16116033494472504
1773823880.7440403,90112,0.13070277869701385
1773824023.7200406,98304,0.12046036124229431
1773824168.505394,106496,0.18539103865623474
1773824307.0164175,114688,0.19633428752422333
1773824454.2492208,122880,0.13905224204063416
1773824580.7845912,131072,0.18351638317108154
1773824721.078707,139264,0.16926540434360504
1773824850.8641753,147456,0.15779009461402893
1773824991.1311598,155648,0.19315502047538757
1773825129.7757223,163840,0.19994008541107178
1773825264.14881,172032,0.18002855777740479
1773825395.699821,180224,0.2012600600719452
1773825526.6758144,188416,0.19123238325119019
1773825678.007461,196608,0.21773110330104828
1773825810.6503482,204800,0.173151433467865
1773825953.891608,212992,0.13591313362121582
1773826094.4490983,221184,0.2275509536266327
1773826236.697323,229376,0.20022203028202057
1773826376.254482,237568,0.20384864509105682
1773826515.1177788,245760,0.1593051254749298
1773826653.4956477,253952,0.21127882599830627
1773826792.9963923,262144,0.2500961422920227
1773826928.988407,270336,0.1611710637807846
1773827064.0494487,278528,0.14746078848838806
1773827206.3000884,286720,0.2507844865322113
1773827340.9657474,294912,0.19516998529434204
1773827474.4623742,303104,0.18510563671588898
1773827618.4433465,311296,0.211246058344841
1773827760.6528947,319488,0.16692736744880676
1773827901.3104107,327680,0.1684340536594391
1773828051.3224423,335872,0.24556313455104828
1773828199.4497423,344064,0.1700805127620697
1773828345.323253,352256,0.20472484827041626
1773828483.5629122,360448,0.1913459748029709
1773828626.8428,368640,0.18239031732082367
1773828770.6569712,376832,0.280011385679245
1773828921.6408672,385024,0.1858968734741211
1773829069.094107,393216,0.20024879276752472
1773829224.8018386,401408,0.2276257574558258
1773829372.9780488,409600,0.16966213285923004
1773829524.8278341,417792,0.2280375063419342
1773829676.286089,425984,0.24932634830474854
1773829819.615441,434176,0.1464049518108368
1773829967.467984,442368,0.15647488832473755
1773830103.8505776,450560,0.18828223645687103
1773830245.7384398,458752,0.19653882086277008
1773830387.0081706,466944,0.27631866931915283
1773830533.840548,475136,0.21004486083984375
1773830691.436623,483328,0.21286888420581818
1773830843.7878473,491520,0.18789488077163696
1773830984.0614011,499712,0.20658020675182343
1773831133.413766,507904,0.1862691193819046
1773831289.9733803,516096,0.21957065165042877
1773831450.303551,524288,0.2195526361465454
1773831597.4039702,532480,0.22086380422115326
1773831747.1083014,540672,0.1469750851392746
1773831897.813293,548864,0.09320472925901413
1773832049.8618135,557056,0.18458710610866547
1773832198.2864134,565248,0.2029636949300766
1773832339.3415146,573440,0.16845962405204773
1773832486.86918,581632,0.17401130497455597
1773832633.377064,589824,0.23369522392749786
1773832783.1241148,598016,0.20281364023685455
1773832920.2950299,606208,0.14955967664718628
1773833078.078929,614400,0.25306710600852966
1773833234.3742213,622592,0.16369083523750305
1773833386.7566957,630784,0.2230183631181717
1773833537.2126184,638976,0.22661615908145905
1773833687.3235312,647168,0.23173949122428894
1773833831.4254792,655360,0.21966439485549927
1773833987.1028976,663552,0.20476925373077393
1773834128.1181161,671744,0.16270369291305542
1773834273.1499896,679936,0.21000486612319946
1773834419.8469877,688128,0.22062398493289948
1773834568.3168795,696320,0.220896914601326
1773834708.4240694,704512,0.21435783803462982
1773834847.0912948,712704,0.19443875551223755
1773834998.138562,720896,0.17810803651809692
1773835149.3341765,729088,0.1668994426727295
1773835296.7670443,737280,0.21393349766731262
1773835443.8935814,745472,0.14168691635131836
1773835586.9550602,753664,0.1924762725830078
1773835739.1000023,761856,0.2453540861606598
1773835889.230264,770048,0.1391904354095459
1773836033.967171,778240,0.1610635370016098
1773836180.568907,786432,0.2123003751039505
1773836330.9207418,794624,0.16978605091571808
1773836474.852997,802816,0.19955843687057495
1773836622.7959943,811008,0.20835159718990326
1773836766.665078,819200,0.14323550462722778
1773836910.7302957,827392,0.19486549496650696
1773837055.5100842,835584,0.1998029202222824
1773837198.4266546,843776,0.19328829646110535
1773837337.9320009,851968,0.1820591688156128
1773837486.9595275,860160,0.18377353250980377
1773837634.402383,868352,0.17301054298877716
1773837773.0396569,876544,0.14672215282917023
1773837915.582725,884736,0.2152082771062851
1773838053.7070336,892928,0.1852959841489792
1773838196.483621,901120,0.17696942389011383
1773838340.9264932,909312,0.23429422080516815
1773838485.452177,917504,0.209546759724617
1773838631.798966,925696,0.27532026171684265
1773838777.8773618,933888,0.25924089550971985
1773838926.157539,942080,0.1710183173418045
1773839076.8031518,950272,0.18888907134532928
1773839223.034938,958464,0.2107798159122467
1773839362.928224,966656,0.2925771176815033
1773839508.4007518,974848,0.20916180312633514
1773839655.5800614,983040,0.22168810665607452
1773839784.5036829,991232,0.19065895676612854
1773839922.01542,999424,0.1697397530078888
1773840056.0016134,1007616,0.20598231256008148
